SN,State,Sales1,Sales2,Diff
1,Jammu and Kashmir,3354,3396,-1.236749117
2,Himachal Pradesh,4895,4782,2.363028022
3,Punjab,4999,4463,12.00985884
5,Uttaranchal,4415,4705,-6.163655685
6,Haryana,4574,4440,3.018018018
7,Delhi,3973,3626,9.569773855
8,Rajasthan,3118,3833,-18.65379598
9,Uttar Pradesh,3583,4842,-26.00165221
10,Bihar,3610,4915,-26.55137335
11,Sikkim,3620,3144,15.13994911
12,Arunachal Pradesh,3825,3679,3.968469693
13,Nagaland,4826,4451,8.425073017
14,Manipur,4106,4831,-15.00724488
15,Mizoram,3819,3606,5.906821963
16,Tripura,3025,4078,-25.82148112
17,Meghalaya,3373,3785,-10.88507266
18,Assam,3278,3469,-5.505909484
19,West Bengal,4085,4261,-4.130485801
20,Jharkhand,3442,4146,-16.9802219
21,Orissa,4717,4817,-2.075980901
22,Chhattisgarh,4808,4515,6.489479513
23,Madhya Pradesh,4382,3770,16.23342175
24,Gujarat,4904,3939,24.49860371
27,Maharashtra,3973,3622,9.690778575
28,Andhra Pradesh,3037,3862,-21.36198861
29,Karnataka,4758,3455,37.71345876
32,Kerala,4581,4395,4.232081911
33,Tamil Nadu,4224,4237,-0.306820864
