Dstributors,Sales,Growth,Lat,Lon,LatLon
ASHWINI DISTRIBUTORS,190,9.93009525,14.71227783,75.9629889,14.71227783:75.9629889
CHANDANA ENTERPRISES,237,-0.945128467,15.6330481,75.90645679,15.6330481:75.90645679
CHANDRAKALA DISTRIBUTORS,191,9.238051829,14.641278,75.55334006,14.641278:75.55334006
DARSHAN ENTERPRISES,214,-3.307531699,14.81998967,75.38497483,14.81998967:75.38497483
DINESH AGENSIES,237,-4.901969239,15.84355608,75.33490702,15.84355608:75.33490702
JAYASHREE AGENSIES,150,5.01536127,15.12066501,75.03731039,15.12066501:75.03731039
KAVITA AGENSIES,261,-6.666379746,14.75213047,75.41709528,14.75213047:75.41709528
MANASA AGENSIES,163,7.622840515,15.67314765,76.10141148,15.67314765:76.10141148
MOHAMMED AGENSIES,267,-3.562067304,15.33731938,76.22404194,15.33731938:76.22404194
MOHAN DISTRIBUTORS,157,7.796053526,14.81276033,75.87593069,14.81276033:75.87593069
MONIKA DISTRIBUTORS,221,1.709294866,14.67629019,75.92284895,14.67629019:75.92284895
NAGARAJA DISTRIBUTORS,162,7.392608635,15.57417137,75.75422539,15.57417137:75.75422539
NIRMALA ENTERPRISES,186,3.178700112,15.40935423,76.175814,15.40935423:76.175814
PAVITHRA AGENSIES,214,-9.23678503,15.57401615,75.46623912,15.57401615:75.46623912
POORNIMA AGENSIES,221,0.612464086,15.08107705,76.03285474,15.08107705:76.03285474
PRATHAP DISTRIBUTORS,165,-0.505780704,15.88914348,75.76785143,15.88914348:75.76785143
PRIYA ENTERPRISES,162,4.528665488,15.29403306,76.17888029,15.29403306:76.17888029
RADHIKA ENTERPRISES,203,5.978182914,14.77258344,75.78703563,14.77258344:75.78703563
RASHMI ENTERPRISES,187,0.749369105,15.40392831,75.91330776,15.40392831:75.91330776
RAVI ENTERPRISES,174,-7.070423022,15.82409533,75.95447175,15.82409533:75.95447175
ROHINI ENTERPRISES,197,2.309695633,14.75236513,75.90015423,14.75236513:75.90015423
SANTOSH DISTRIBUTORS,297,2.038191632,15.97556092,75.55199454,15.97556092:75.55199454
SHARATH DISTRIBUTORS,299,-9.325653743,14.85961334,75.16728961,14.85961334:75.16728961
SHIVAKUMAR AGENSIES,246,3.784902004,14.69921342,75.96163287,14.69921342:75.96163287
SRIKANTH AGENSIES,230,9.683528334,14.85644791,75.27253331,14.85644791:75.27253331
SUSHMA AGENSIES,240,-9.72164,14.8077132,75.2601343,14.8077132:75.2601343
SUSHMITHA DISTRIBUTORS,296,8.738682311,15.19106559,75.59408953,15.19106559:75.59408953
TABASSUM AGENSIES,293,4.877194614,15.01737123,76.14122819,15.01737123:76.14122819
