Distributor Name,Brand,Month,Volume,Growth,ROI
Ashwini,Brand 1,30-Jun-13,386,10,24
Ashwini,Brand 1,31-Jul-13,381,-1,9
Ashwini,Brand 1,31-Aug-13,386,1,24
Ashwini,Brand 1,30-Sep-13,334,-13,28
Ashwini,Brand 1,31-Oct-13,420,26,9
Ashwini,Brand 1,30-Nov-13,474,13,12
Ashwini,Brand 1,31-Dec-13,488,3,40
Ashwini,Brand 1,31-Jan-14,425,-13,22
Ashwini,Brand 1,28-Feb-14,305,-28,17
Ashwini,Brand 1,31-Mar-14,392,29,35
Ashwini,Brand 1,30-Apr-14,499,27,10
Ashwini,Brand 1,31-May-14,328,-34,12
Ashwini,Brand 2,30-Jun-13,590,15,11
Ashwini,Brand 2,31-Jul-13,537,-9,5
Ashwini,Brand 2,31-Aug-13,593,2,22
Ashwini,Brand 2,30-Sep-13,674,14,24
Ashwini,Brand 2,31-Oct-13,694,3,5
Ashwini,Brand 2,30-Nov-13,651,-6,19
Ashwini,Brand 2,31-Dec-13,643,-1,19
Ashwini,Brand 2,31-Jan-14,693,8,15
Ashwini,Brand 2,28-Feb-14,571,-18,24
Ashwini,Brand 2,31-Mar-14,612,7,6
Ashwini,Brand 2,30-Apr-14,635,4,25
Ashwini,Brand 2,31-May-14,549,-14,7
Ashwini,Brand 3,30-Jun-13,442,22,27
Ashwini,Brand 3,31-Jul-13,572,29,16
Ashwini,Brand 3,31-Aug-13,487,-15,5
Ashwini,Brand 3,30-Sep-13,461,-5,22
Ashwini,Brand 3,31-Oct-13,550,19,10
Ashwini,Brand 3,30-Nov-13,530,-4,21
Ashwini,Brand 3,31-Dec-13,538,2,13
Ashwini,Brand 3,31-Jan-14,484,-10,10
Ashwini,Brand 3,28-Feb-14,501,4,13
Ashwini,Brand 3,31-Mar-14,461,-8,8
Ashwini,Brand 3,30-Apr-14,436,-5,17
Ashwini,Brand 3,31-May-14,543,25,17
Ashwini,Brand 4,30-Jun-13,390,-28,4
Ashwini,Brand 4,31-Jul-13,400,3,8
Ashwini,Brand 4,31-Aug-13,353,-12,6
Ashwini,Brand 4,30-Sep-13,420,19,7
Ashwini,Brand 4,31-Oct-13,510,21,2
Ashwini,Brand 4,30-Nov-13,398,-22,11
Ashwini,Brand 4,31-Dec-13,351,-12,3
Ashwini,Brand 4,31-Jan-14,450,28,0
Ashwini,Brand 4,28-Feb-14,445,-1,13
Ashwini,Brand 4,31-Mar-14,550,24,15
Ashwini,Brand 4,30-Apr-14,546,-1,2
Ashwini,Brand 4,31-May-14,665,22,0
